fork_url;repo_id;repo_url;last_update;developer;url_developer;fork_update;commit_msg;update_status
https://github.com/zafields/virtual-shields-universal;"ms-iot/virtual-shields-universal
";"https://github.com/ms-iot/virtual-shields-universal
";on 19 Jun 2017;zafields;;on 18 Mar 2016;This branch is 5 commits behind ms-iot:develop.;DESATUALIZADO
None;"nsynapse/cossb
";"https://github.com/nsynapse/cossb
";on 4 Feb 2020;;;None;None;DESATUALIZADO
https://github.com/aabadie/cli-tools;"iot-lab/cli-tools
";"https://github.com/iot-lab/cli-tools
";on 17 Jan;aabadie;;on 14 Sep 2016;This branch is 212 commits behind iot-lab:master.;DESATUALIZADO
https://github.com/adjih/cli-tools;"iot-lab/cli-tools
";"https://github.com/iot-lab/cli-tools
";on 17 Jan;adjih;;on 18 Nov 2014;This branch is 303 commits behind iot-lab:master.;DESATUALIZADO
https://github.com/audeoudh/cli-tools;"iot-lab/cli-tools
";"https://github.com/iot-lab/cli-tools
";on 17 Jan;audeoudh;;on 22 May 2018;This branch is 9 commits ahead, 119 commits behind iot-lab:master.;DESATUALIZADO
https://github.com/awe00/cli-tools;"iot-lab/cli-tools
";"https://github.com/iot-lab/cli-tools
";on 17 Jan;awe00;;on 22 Apr 2014;This branch is 452 commits behind iot-lab:master.;DESATUALIZADO
https://github.com/cgundogan/cli-tools;"iot-lab/cli-tools
";"https://github.com/iot-lab/cli-tools
";on 17 Jan;cgundogan;;on 30 Nov 2015;This branch is 240 commits behind iot-lab:master.;DESATUALIZADO
https://github.com/cloud-hot/cli-tools;"iot-lab/cli-tools
";"https://github.com/iot-lab/cli-tools
";on 17 Jan;cloud-hot;;on 4 Jul 2014;This branch is 444 commits behind iot-lab:master.;DESATUALIZADO
https://github.com/dadada/cli-tools;"iot-lab/cli-tools
";"https://github.com/iot-lab/cli-tools
";on 17 Jan;dadada;;on 23 Nov 2017;This branch is 141 commits behind iot-lab:master.;DESATUALIZADO
https://github.com/miri64/cli-tools;"iot-lab/cli-tools
";"https://github.com/iot-lab/cli-tools
";on 17 Jan;miri64;;on 21 Sep 2021;This branch is 14 commits behind iot-lab:master.;DESATUALIZADO
https://github.com/OlegHahm/cli-tools;"iot-lab/cli-tools
";"https://github.com/iot-lab/cli-tools
";on 17 Jan;OlegHahm;;on 8 Dec 2014;This branch is 296 commits behind iot-lab:master.;DESATUALIZADO
https://github.com/rienafairefr/cli-tools;"iot-lab/cli-tools
";"https://github.com/iot-lab/cli-tools
";on 17 Jan;rienafairefr;;on 16 Oct 2019;This branch is 85 commits behind iot-lab:master.;DESATUALIZADO
https://github.com/rodrigoieh/cli-tools;"iot-lab/cli-tools
";"https://github.com/iot-lab/cli-tools
";on 17 Jan;rodrigoieh;;on 29 Apr 2021;This branch is 15 commits behind iot-lab:master.;DESATUALIZADO
https://github.com/acklenx/cylon-joystick;"hybridgroup/cylon-joystick
";"https://github.com/hybridgroup/cylon-joystick
";on 5 May 2016;acklenx;;on 4 Jul 2015;This branch is 21 commits behind hybridgroup:master.;DESATUALIZADO
https://github.com/allai5/cylon-joystick;"hybridgroup/cylon-joystick
";"https://github.com/hybridgroup/cylon-joystick
";on 5 May 2016;allai5;;on 5 May 2016;This branch is up to date with hybridgroup/cylon-joystick:master.;ATUALIZADO
https://github.com/dashby3000/cylon-joystick;"hybridgroup/cylon-joystick
";"https://github.com/hybridgroup/cylon-joystick
";on 5 May 2016;dashby3000;;on 24 Sep 2014;This branch is 91 commits behind hybridgroup:master.;DESATUALIZADO
https://github.com/jaywengrow/cylon-joystick;"hybridgroup/cylon-joystick
";"https://github.com/hybridgroup/cylon-joystick
";on 5 May 2016;jaywengrow;;on 16 Sep 2014;This branch is 91 commits behind hybridgroup:master.;DESATUALIZADO
https://github.com/jiraiya972/cylon-joystick;"hybridgroup/cylon-joystick
";"https://github.com/hybridgroup/cylon-joystick
";on 5 May 2016;jiraiya972;;on 19 Aug 2014;This branch is 92 commits behind hybridgroup:master.;DESATUALIZADO
https://github.com/juliancheal/cylon-joystick;"hybridgroup/cylon-joystick
";"https://github.com/hybridgroup/cylon-joystick
";on 5 May 2016;juliancheal;;on 6 Mar 2014;This branch is 130 commits behind hybridgroup:master.;DESATUALIZADO
https://github.com/neocotic/cylon-joystick;"hybridgroup/cylon-joystick
";"https://github.com/hybridgroup/cylon-joystick
";on 5 May 2016;neocotic;;on 26 May 2014;This branch is 121 commits behind hybridgroup:master.;DESATUALIZADO
https://github.com/nvdnkpr/cylon-joystick;"hybridgroup/cylon-joystick
";"https://github.com/hybridgroup/cylon-joystick
";on 5 May 2016;nvdnkpr;;on 15 Oct 2014;This branch is 75 commits behind hybridgroup:master.;DESATUALIZADO
https://github.com/pb2bee/cylon-joystick;"hybridgroup/cylon-joystick
";"https://github.com/hybridgroup/cylon-joystick
";on 5 May 2016;pb2bee;;on 5 Aug 2015;This branch is 11 commits behind hybridgroup:master.;DESATUALIZADO
https://github.com/tt-52101/cylon-joystick;"hybridgroup/cylon-joystick
";"https://github.com/hybridgroup/cylon-joystick
";on 5 May 2016;tt-52101;;on 5 May 2016;This branch is up to date with hybridgroup/cylon-joystick:master.;ATUALIZADO
None;"IoT-Lab-Minden/SwarmRob
";"https://github.com/IoT-Lab-Minden/SwarmRob
";on 10 Oct 2019;;;None;None;DESATUALIZADO
None;"0xJeremy/Dum-E-IOT
";"https://github.com/0xJeremy/Dum-E-IOT
";on 9 Mar 2019;;;None;None;DESATUALIZADO
None;"ZeroSum24/IoT-Room-Occupancy-Monitor
";"https://github.com/ZeroSum24/IoT-Room-Occupancy-Monitor
";on 2 Nov 2019;;;None;None;DESATUALIZADO
https://github.com/jasonatran/iris-riot;"ANRGUSC/iris-riot
";"https://github.com/ANRGUSC/iris-riot
";on 22 Jan 2019;jasonatran;;on 22 Jan 2019;This branch is up to date with ANRGUSC/iris-riot:develop.;ATUALIZADO
None;"nebrius/johnny-five-iot-edge
";"https://github.com/nebrius/johnny-five-iot-edge
";on 24 Sep 2018;;;None;None;DESATUALIZADO
https://github.com/cmmakerclub/cylon-mqtt;"hybridgroup/cylon-mqtt
";"https://github.com/hybridgroup/cylon-mqtt
";on 22 May 2016;cmmakerclub;;on 23 Feb 2015;This branch is 1 commit ahead, 22 commits behind hybridgroup:master.;DESATUALIZADO
https://github.com/haydockjp/cylon-mqtt;"hybridgroup/cylon-mqtt
";"https://github.com/hybridgroup/cylon-mqtt
";on 22 May 2016;haydockjp;;on 8 Dec 2017;This branch is 3 commits ahead of hybridgroup:master.;DESATUALIZADO
https://github.com/javierder/cylon-awsiot;"hybridgroup/cylon-mqtt
";"https://github.com/hybridgroup/cylon-mqtt
";on 22 May 2016;javierder;;on 13 Mar 2018;This branch is 1 commit ahead of hybridgroup:master.;DESATUALIZADO
https://github.com/k33g/cylon-mqtt;"hybridgroup/cylon-mqtt
";"https://github.com/hybridgroup/cylon-mqtt
";on 22 May 2016;k33g;;on 9 Mar 2015;This branch is 21 commits behind hybridgroup:master.;DESATUALIZADO
